run_root,run_label,run_name,attention_impl,top_k,returncode,harness_elapsed_seconds,val_loss,val_perplexity,val_accuracy,train_loss,tokens_seen,tokens_per_second,active_training_time_seconds,total_wall_time_seconds,setup_time_seconds,actual_steps,max_train_seconds,stop_reason,peak_cuda_memory_allocated_bytes,peak_cuda_memory_reserved_bytes,peak_cuda_memory_allocated_gib,peak_cuda_memory_reserved_gib,attention_vector_budget,raw_token_equivalent_coverage,dense_avg_causal_budget,d_model,n_layers,n_heads,max_seq_len,batch_size,seed,git_commit,gpu_name,cuda_available,metrics_path,stdout_path
20260524_054102,synthetic_mac_style_gpu_smoke_8192_tokens,dense,dense,,0,18.606566905975342,6.970703125,1064.9712952889881,0.000984251968503937,6.96875,8192,887.4060718459344,9.231399536132812,9.52426290512085,0.2928633689880371,16,120.0,,29751808,56623104,0.02770853042602539,0.052734375,64.0,128,64.0,128,2,4,128,4,42,016d6a4ddd2a09e8b7399cb034b75d577bd2e93d,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054102/dense/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054102/dense/stdout.log
20260524_054102,synthetic_mac_style_gpu_smoke_8192_tokens,csa-k1,csa,1,0,18.074841022491455,6.96484375,1058.7494748958482,0.000984251968503937,6.96875,8192,878.2240632465185,9.327915668487549,9.578094482421875,0.25017881393432617,16,120.0,,34332672,56623104,0.03197479248046875,0.052734375,65,80,64.0,128,2,4,128,4,42,016d6a4ddd2a09e8b7399cb034b75d577bd2e93d,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054102/csa-k1/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054102/csa-k1/stdout.log
20260524_054102,synthetic_mac_style_gpu_smoke_8192_tokens,csa-k8,csa,8,0,13.06668734550476,6.96484375,1058.7494748958482,0.000984251968503937,6.96875,8192,1969.161321617613,4.160146713256836,4.376993656158447,0.21684694290161133,16,120.0,,36285952,56623104,0.03379392623901367,0.052734375,72,192,64.0,128,2,4,128,4,42,016d6a4ddd2a09e8b7399cb034b75d577bd2e93d,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054102/csa-k8/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054102/csa-k8/stdout.log
20260524_054523,real_data_smoke_50k_tokens,dense,dense,,0,113.43042635917664,7.87329252243042,2626.1981853109114,0.08130679042501221,8.168205261230469,57344,928.3946603792064,61.76683521270752,63.22429156303406,1.457456350326538,7,300.0,,6640953344,7453278208,6.184869766235352,6.94140625,1024.0,2048,1024.0,256,8,8,2048,4,42,b2a40c1a683097f876ba608bebe9e86bb04d8947,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054523/dense/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054523/dense/stdout.log
20260524_054523,real_data_smoke_50k_tokens,csa-k1,csa,1,0,49.742966175079346,7.919720983505249,2751.0033633214903,0.08839765510503175,8.187870979309082,57344,4522.404425281261,12.679980516433716,13.5843026638031,0.9043221473693848,7,300.0,,7333402624,8206155776,6.829763412475586,7.642578125,65,80,1024.0,256,8,8,2048,4,42,b2a40c1a683097f876ba608bebe9e86bb04d8947,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054523/csa-k1/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054523/csa-k1/stdout.log
20260524_054523,real_data_smoke_50k_tokens,csa-k8,csa,8,0,22.522120237350464,7.922319393157959,2758.160892084155,0.08838910600879335,8.190011024475098,57344,4519.53635908437,12.688027143478394,13.415709972381592,0.7276828289031982,7,300.0,,7423645696,8279556096,6.913808822631836,7.7109375,72,192,1024.0,256,8,8,2048,4,42,b2a40c1a683097f876ba608bebe9e86bb04d8947,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054523/csa-k8/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_054523/csa-k8/stdout.log
20260524_055350,fixed_tokens_204800,dense,dense,,0,39.91907715797424,7.004790744781494,1101.8994526729218,0.1272532975085491,7.153504848480225,204800,21032.803715631,9.737170696258545,10.498211860656738,0.7610411643981934,25,900.0,,6640953344,7453278208,6.184869766235352,6.94140625,1024.0,2048,1024.0,256,8,8,2048,4,42,b2a40c1a683097f876ba608bebe9e86bb04d8947,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_055350/dense/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_055350/dense/stdout.log
20260524_055350,fixed_tokens_204800,csa-k1,csa,1,0,25.816844940185547,6.979663786888122,1074.557026093768,0.12861504640937957,7.0277018547058105,204800,12794.373125904232,16.007036685943604,16.73337459564209,0.7263379096984863,25,900.0,,7333402624,8206155776,6.829763412475586,7.642578125,65,80,1024.0,256,8,8,2048,4,42,b2a40c1a683097f876ba608bebe9e86bb04d8947,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_055350/csa-k1/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_055350/csa-k1/stdout.log
20260524_055350,fixed_tokens_204800,csa-k16,csa,16,0,26.116032123565674,6.968788194656372,1062.9339007974,0.12837200781631655,7.069226264953613,204800,13146.182193362161,15.578667402267456,16.348072052001953,0.7694046497344971,25,900.0,,7513298944,8376025088,6.997304916381836,7.80078125,80,320,1024.0,256,8,8,2048,4,42,b2a40c1a683097f876ba608bebe9e86bb04d8947,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_055350/csa-k16/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_055350/csa-k16/stdout.log
20260524_055350,fixed_tokens_204800,csa-k4,csa,4,0,26.017566204071045,6.9850113439559935,1080.318672750464,0.1284868099658036,7.028794288635254,204800,12814.457802064468,15.981948137283325,16.804245710372925,0.8222975730895996,25,900.0,,7376197632,8227127296,6.869619369506836,7.662109375,68,128,1024.0,256,8,8,2048,4,42,b2a40c1a683097f876ba608bebe9e86bb04d8947,NVIDIA GeForce RTX 3090,True,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_055350/csa-k4/metrics.json,docs/research/results/csa_top_k_20260524/raw_runs/csa_top_k/20260524_055350/csa-k4/stdout.log
